product_id,product_title,rating,total_reviews,price,top_reviews
itmc9604f122ae7f,"Apple iPhone 13 (Starlight, 128 GB)",4.6,"13,982","₹44,999","5 Brilliant I switch to ios from android after 10 years so this review might help for migrators It’s been a month using the iPhone13 and this was my experience 1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets.  I have seen all the colours and I highly recommend the pink . It’s so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour. For rest of it except white the aluminium frame wil... READ MORE Mahim Chauhan Certified Buyer , Vadodara Jun, 2022 23442 3433 Permalink Report Abuse || 5 Perfect product! Awesome battery backup amazing camera, a all day batter backup  improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days 🔥 READ MORE Arnab Das Certified Buyer , Panihati Oct, 2022 16740 2436 Permalink Report Abuse || 5 Fabulous! Amazing beast.... As expected , didn't disappoint me, Had to sell hard chunk of kidneys to get it !!;p Camera quality is definitely a super upgrade Battery is super.. easily last throughout the day with heavy usage. Light weight looks stylish what else you need?? Starlight color just wow!!! Apple it would have been better if you should  have given an adaptor. Increase 2k price and give it in box!!! Simple .... Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr... READ MORE Vaibhav  Raj Certified Buyer , Rajpura Oct, 2021 13316 1930 Permalink Report Abuse || 5 Excellent I upgraded to 13 from xs and my experience with this had been extraordinary . The user interface and the camera is too good .Just in love with this extraordinary device .I just shared some photos clicked from this phone so that everyone can have an idea about how good the camera is compared all other flagship devices . The lens inside the device is so efficient that it  automatically reduces the noise in the picture making it very crisp and clear  . READ MORE Flipkart Customer Certified Buyer , Bengaluru Oct, 2022 4799 674 Permalink Report Abuse || 5 Terrific Happy to have this phone READ MORE Flipkart Customer Certified Buyer , Parasi Nov, 2021 5016 706 Permalink Report Abuse || 5 Just wow! Reality is reality. Everything is working smooth, jist go for it without any hesitation. You won't be regret once you buy it. READ MORE Shailendra kumar Certified Buyer , Noida May, 2022 231 23 Permalink Report Abuse || 5 Perfect product! LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it.  hand feel too much premium. CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures . Night mode is supergood low light performance impressed me PERFORMANCE - its bionic a15 chipset faster ,have 60hz refresh rate but its beatable 120hz DISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for d... READ MORE Mahesh Jaiswara Certified Buyer , Raghunathpur Hugli District Oct, 2022 6382 907 Permalink Report Abuse || 5 Just wow! Best phone in recent times I have used in my life READ MORE Tulasiram SABBAVARAPU Certified Buyer , Visakhapatnam Apr, 2022 829 103 Permalink Report Abuse || 5 Perfect product! Love this phone..... 😍 READ MORE Badri Bishal  Pratihari Certified Buyer , Puri Feb, 2022 3272 452 Permalink Report Abuse || 5 Brilliant Camera quality, performance, battery ,everything is up to mark. READ MORE Garima Singh Certified Buyer , New Delhi Oct, 2021 370 41 Permalink Report Abuse"
itm730f9c68ad562,"Apple iPhone 16e (Black, 128 GB)",4.5,101,"₹54,900","5 Excellent Upgraded from SE(2020),, 5 more years to go with this too READ MORE Bharjin Brahma Certified Buyer , Kokrajhar 2 months ago 88 23 Permalink Report Abuse || 4 Good choice For this price at least -display should be 120 hz READ MORE amit saraf Certified Buyer , Kolkata 4 months ago 402 198 Permalink Report Abuse || 5 Excellent Budget phone with my expectations. READ MORE Hari Krishnan Certified Buyer , Chennai 1 month ago 22 8 Permalink Report Abuse || 5 Worth every penny Excellent battery condition READ MORE AABID Ali Certified Buyer , Visakhapatnam 5 months ago 73 40 Permalink Report Abuse || 5 Pretty good GOOD PHONE WITH battery backup and smart camera READ MORE ARUN KUMAR Certified Buyer , Prayagraj 2 months ago 63 35 Permalink Report Abuse || 5 Perfect product! All is well, perform 10/10, ￼ camera 10/10, battery back up 10/10, display10/9 , audio quality10/10 , doable ,￼ compact 👍 in budget, hundred percent command by me👍💐￼ READ MORE prafull shahane Certified Buyer , Parbhani 2 months ago 13 4 Permalink Report Abuse || 5 Terrific purchase I really like it.. Battery life is good but it's not big battery life. Camera quality is awesome.. Superb smartphone. To be frank it's not value for money phone. 😂This is not a cheap phone. READ MORE Nabeel J Certified Buyer , Thiruvananthapuram District 25 days ago 16 6 Permalink Report Abuse || 3 Nice The battery gets heated after using for one hour READ MORE Akhil Dhasmana Certified Buyer , Kanpur 5 months ago 45 24 Permalink Report Abuse || 5 Mind-blowing purchase Good READ MORE Samrat Das Certified Buyer , Pune 3 months ago 29 25 Permalink Report Abuse || 5 Super! Looks good till now READ MORE debasis behura Certified Buyer , Bengaluru 5 months ago 93 99 Permalink Report Abuse"
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,793,"₹71,399","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 7 months ago 234 67 Permalink Report Abuse || 5 Brilliant Doing good as of now! READ MORE Disha Singh Certified Buyer , Agartala 4 months ago 150 41 Permalink Report Abuse || 5 Great product My father's first iphone❤️ Colour is awesome and so light in weight It should be available with 256gb Anyways design and camera is awesome READ MORE Arpit Singh Certified Buyer , Lakhimpur 11 months ago 1505 568 Permalink Report Abuse || 5 Terrific purchase Awesome..Loved It.🥰🥰 READ MORE Rinky Kumari Certified Buyer , Ranchi 7 months ago 799 302 Permalink Report Abuse || 5 Best in the market! iOS is always amazing. READ MORE Flipkart Customer Certified Buyer , Thane 10 months ago 888 360 Permalink Report Abuse || 5 Worth every penny Best phone READ MORE Praveen Sharma Certified Buyer , Aron 7 months ago 84 26 Permalink Report Abuse || 5 Best in the market! Finally I got it 😃 and love it 😘 READ MORE Rohit Kumar Certified Buyer , Noida 7 months ago 49 13 Permalink Report Abuse"
itmce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",4.6,793,"₹71,399","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 7 months ago 234 67 Permalink Report Abuse || 5 Brilliant Doing good as of now! READ MORE Disha Singh Certified Buyer , Agartala 4 months ago 150 41 Permalink Report Abuse || 5 Great product My father's first iphone❤️ Colour is awesome and so light in weight It should be available with 256gb Anyways design and camera is awesome READ MORE Arpit Singh Certified Buyer , Lakhimpur 11 months ago 1505 568 Permalink Report Abuse || 5 Terrific purchase Awesome..Loved It.🥰🥰 READ MORE Rinky Kumari Certified Buyer , Ranchi 7 months ago 799 302 Permalink Report Abuse || 5 Best in the market! iOS is always amazing. READ MORE Flipkart Customer Certified Buyer , Thane 10 months ago 888 360 Permalink Report Abuse || 5 Worth every penny Best phone READ MORE Praveen Sharma Certified Buyer , Aron 7 months ago 84 26 Permalink Report Abuse || 5 Best in the market! Finally I got it 😃 and love it 😘 READ MORE Rohit Kumar Certified Buyer , Noida 7 months ago 49 13 Permalink Report Abuse"
itme3a53984760fb,"Apple iPhone 15 Plus (Black, 128 GB)",4.6,"2,578","₹69,999","5 Best in the market! Go fr it READ MORE Sagar Behera Certified Buyer , Rourkela Sep, 2023 5813 1277 Permalink Report Abuse || 5 Must buy! Blue colour is very light But performance is very good READ MORE Ashutosh  Singh Certified Buyer , Duliajan Jan, 2024 1794 409 Permalink Report Abuse || 5 Must buy! Best in class READ MORE Anshul Duhan Certified Buyer , Mhow Oct, 2023 1830 419 Permalink Report Abuse || 5 Best in the market! Terrific purchase. I know it's costly for many people but it's worth every penny. READ MORE SHIB HAZRA Certified Buyer , Burdwan Nov, 2023 599 126 Permalink Report Abuse || 5 Terrific The I phone 15 plus is just amazing the camera quality is waooo display is smooth to use worth the money READ MORE Chandini Pradhan Certified Buyer , Malkangiri Mar, 2024 393 80 Permalink Report Abuse || 5 Mind-blowing purchase Fabulous 😍 Loved it Camera awesome 😘 Performance too good READ MORE Gundabattina SaradhiMuneendra Certified Buyer , Prakasam Oct, 2023 976 220 Permalink Report Abuse || 5 Perfect product! Just See the beauty of Camera omg 😘 READ MORE Flipkart Customer Certified Buyer , Sukma Oct, 2023 561 121 Permalink Report Abuse || 5 Great product Go for it without any hesitation Camera and battery are just awesome READ MORE Flipkart Customer Certified Buyer , Ranchi Apr, 2024 296 59 Permalink Report Abuse || 5 Simply awesome This is second iPhone love it 😍😍 READ MORE Avinan Vaidya Certified Buyer , Shillong Oct, 2023 282 56 Permalink Report Abuse || 5 Wonderful Great Camera Battery :) READ MORE Debayan  Bhowmik Certified Buyer , Chakdah Oct, 2023 37 4 Permalink Report Abuse"
itmca361aab1c5b0,"Apple iPhone 13 (Midnight, 128 GB)",4.6,"13,982","₹44,999","5 Brilliant I switch to ios from android after 10 years so this review might help for migrators It’s been a month using the iPhone13 and this was my experience 1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets.  I have seen all the colours and I highly recommend the pink . It’s so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour. For rest of it except white the aluminium frame wil... READ MORE Mahim Chauhan Certified Buyer , Vadodara Jun, 2022 23442 3433 Permalink Report Abuse || 5 Perfect product! Awesome battery backup amazing camera, a all day batter backup  improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days 🔥 READ MORE Arnab Das Certified Buyer , Panihati Oct, 2022 16740 2436 Permalink Report Abuse || 5 Fabulous! Amazing beast.... As expected , didn't disappoint me, Had to sell hard chunk of kidneys to get it !!;p Camera quality is definitely a super upgrade Battery is super.. easily last throughout the day with heavy usage. Light weight looks stylish what else you need?? Starlight color just wow!!! Apple it would have been better if you should  have given an adaptor. Increase 2k price and give it in box!!! Simple .... Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr... READ MORE Vaibhav  Raj Certified Buyer , Rajpura Oct, 2021 13316 1930 Permalink Report Abuse || 5 Excellent I upgraded to 13 from xs and my experience with this had been extraordinary . The user interface and the camera is too good .Just in love with this extraordinary device .I just shared some photos clicked from this phone so that everyone can have an idea about how good the camera is compared all other flagship devices . The lens inside the device is so efficient that it  automatically reduces the noise in the picture making it very crisp and clear  . READ MORE Flipkart Customer Certified Buyer , Bengaluru Oct, 2022 4799 674 Permalink Report Abuse || 5 Terrific Happy to have this phone READ MORE Flipkart Customer Certified Buyer , Parasi Nov, 2021 5016 706 Permalink Report Abuse || 5 Just wow! Reality is reality. Everything is working smooth, jist go for it without any hesitation. You won't be regret once you buy it. READ MORE Shailendra kumar Certified Buyer , Noida May, 2022 231 23 Permalink Report Abuse || 5 Perfect product! LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it.  hand feel too much premium. CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures . Night mode is supergood low light performance impressed me PERFORMANCE - its bionic a15 chipset faster ,have 60hz refresh rate but its beatable 120hz DISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for d... READ MORE Mahesh Jaiswara Certified Buyer , Raghunathpur Hugli District Oct, 2022 6382 907 Permalink Report Abuse || 5 Just wow! Best phone in recent times I have used in my life READ MORE Tulasiram SABBAVARAPU Certified Buyer , Visakhapatnam Apr, 2022 829 103 Permalink Report Abuse || 5 Perfect product! Love this phone..... 😍 READ MORE Badri Bishal  Pratihari Certified Buyer , Puri Feb, 2022 3272 452 Permalink Report Abuse || 5 Brilliant Camera quality, performance, battery ,everything is up to mark. READ MORE Garima Singh Certified Buyer , New Delhi Oct, 2021 370 41 Permalink Report Abuse"
itm7579ed94ca647,"Apple iPhone 15 (Pink, 128 GB)",4.6,"9,407","₹64,900","5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4317 1058 Permalink Report Abuse || 5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 897 202 Permalink Report Abuse || 5 Must buy! Nice 👌 READ MORE CHETAN  TILWALIA Certified Buyer , Loni Apr, 2024 72 10 Permalink Report Abuse || 5 Awesome Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. READ MORE Nikhil Kumar Certified Buyer , Meerut Division Jan, 2024 1907 461 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 685 154 Permalink Report Abuse || 5 Worth every penny Awesome photography experience. Battery backup is good . Display is much better than 14 version. READ MORE Flipkart Customer Certified Buyer , Aizawl Jan, 2024 1472 355 Permalink Report Abuse || 5 Mind-blowing purchase High quality camera😍 READ MORE Ajin V Certified Buyer , Balaghat Oct, 2023 10825 2812 Permalink Report Abuse || 5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 757 174 Permalink Report Abuse || 4 Good choice Very nice READ MORE Mousam  Guha Roy Certified Buyer , Matialihat Oct, 2023 3967 930 Permalink Report Abuse || 5 Just wow! Camera Quality Is Improved Loving It READ MORE Prithivi Boruah Certified Buyer , Bokajan Oct, 2023 3930 1000 Permalink Report Abuse"
itm04dba659735c7,"Apple iPhone 14 (Blue, 256 GB)",4.6,"11,688","₹62,990","5 Just wow! Good READ MORE Avi Nash Certified Buyer , Bengaluru Feb, 2023 6970 1423 Permalink Report Abuse || 5 Great product Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go. READ MORE Flipkart Customer Certified Buyer , Rajgarh Jan, 2023 4156 835 Permalink Report Abuse || 5 Fabulous! Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome 50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.. READ MORE Rahul Prasad Certified Buyer , Debipur Jan, 2023 14354 2992 Permalink Report Abuse || 5 Great product Nice camera but battery drain fast specially on video recording READ MORE Tara singh mehra Certified Buyer , Ramnagar Mar, 2023 4644 940 Permalink Report Abuse || 5 Best in the market! Excellent smart phone, Good battery backup and performance is very good, Good camera quality. READ MORE Banwari  Kaka Certified Buyer , Mahrajganj Mahrajganj District Oct, 2022 3878 783 Permalink Report Abuse || 5 Perfect product! Good READ MORE CHAKARI OBULESU Certified Buyer , Anantapur Apr, 2023 298 48 Permalink Report Abuse || 5 Excellent Just amazing! READ MORE Ajay Kumar Certified Buyer , Raigarh Dec, 2022 2008 394 Permalink Report Abuse || 5 Best in the market! Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone READ MORE Waqar ahmed Certified Buyer , North Twenty Four Parganas District Oct, 2022 1513 292 Permalink Report Abuse || 5 Terrific Awesome device form apple just go for it and main point is Flipkart delivery facility is best. READ MORE Shivm Sharma Certified Buyer , Faridabad Nov, 2023 206 31 Permalink Report Abuse || 5 Awesome Love the camera💖🥰 READ MORE Flipkart Customer Certified Buyer , Siliguri Nov, 2023 1045 198 Permalink Report Abuse"
itm50f720fdcec51,"Apple iPhone 16 Pro (White Titanium, 128 GB)",4.6,135,"₹1,05,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2181 870 Permalink Report Abuse || 5 Wonderful Apple never disappoints,  best READ MORE sudipto sen Certified Buyer , North Twenty Four Parganas District 2 months ago 23 4 Permalink Report Abuse || 5 Great product Loved it best in the market . You should go for it Thanks READ MORE Flipkart Customer Certified Buyer , Murshidabad District 7 months ago 571 242 Permalink Report Abuse || 5 Just wow! Awesome iPhone. Good upgrade from iPhone 13. Love the 4K 120. READ MORE Aditya  Powar Certified Buyer , Bengaluru 10 months ago 820 374 Permalink Report Abuse || 4 Really Nice Iphone 12 to iphone 16 pro amazing upgrade ❤️ I love thie phone Overall the beast ❤️ READ MORE Aman Kumar Certified Buyer , Munger 6 months ago 221 85 Permalink Report Abuse || 5 Simply awesome I was having iPhone XR from 5yrs , i exchanged it with this demon 😈 , I got very good exchange bonus and the 16pro is very good for night clicks , 48 mp dslr like pictures, performance is also very good , battery will come around 1 day compare to my old xr  mobile. READ MORE Nitish S dev Certified Buyer , Bangalore Urban 5 months ago 239 99 Permalink Report Abuse || 5 Super! Excellent performance, no heating issue and descent camera quality . Desert titanium looks better when compared to natural titanium . READ MORE Ankit Yadav Certified Buyer , Bareilly 4 months ago 47 14 Permalink Report Abuse || 5 Great product Elegance meets power😍 READ MORE A K Certified Buyer , Pithoragarh 6 months ago 39 12 Permalink Report Abuse || 5 Highly recommended Upgraded from iPhone 13 to 16pro. Loved it READ MORE Shweta Shaw Certified Buyer , Budge Budge 7 months ago 39 12 Permalink Report Abuse || 5 Great product No words for this phone🖤🖤🖤🖤 READ MORE Puneet  Choudhory Certified Buyer , Bengaluru 7 months ago 34 10 Permalink Report Abuse"
itm35f749ba5d1ea,"Apple iPhone 16 Pro (White Titanium, 256 GB)",4.6,135,"₹1,15,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2181 870 Permalink Report Abuse || 5 Wonderful Apple never disappoints,  best READ MORE sudipto sen Certified Buyer , North Twenty Four Parganas District 2 months ago 23 4 Permalink Report Abuse || 5 Great product Loved it best in the market . You should go for it Thanks READ MORE Flipkart Customer Certified Buyer , Murshidabad District 7 months ago 571 242 Permalink Report Abuse || 5 Just wow! Awesome iPhone. Good upgrade from iPhone 13. Love the 4K 120. READ MORE Aditya  Powar Certified Buyer , Bengaluru 10 months ago 820 374 Permalink Report Abuse || 4 Really Nice Iphone 12 to iphone 16 pro amazing upgrade ❤️ I love thie phone Overall the beast ❤️ READ MORE Aman Kumar Certified Buyer , Munger 6 months ago 221 85 Permalink Report Abuse || 5 Simply awesome I was having iPhone XR from 5yrs , i exchanged it with this demon 😈 , I got very good exchange bonus and the 16pro is very good for night clicks , 48 mp dslr like pictures, performance is also very good , battery will come around 1 day compare to my old xr  mobile. READ MORE Nitish S dev Certified Buyer , Bangalore Urban 5 months ago 239 99 Permalink Report Abuse || 5 Super! Excellent performance, no heating issue and descent camera quality . Desert titanium looks better when compared to natural titanium . READ MORE Ankit Yadav Certified Buyer , Bareilly 4 months ago 47 14 Permalink Report Abuse || 5 Great product Elegance meets power😍 READ MORE A K Certified Buyer , Pithoragarh 6 months ago 39 12 Permalink Report Abuse || 5 Highly recommended Upgraded from iPhone 13 to 16pro. Loved it READ MORE Shweta Shaw Certified Buyer , Budge Budge 7 months ago 39 12 Permalink Report Abuse || 5 Great product No words for this phone🖤🖤🖤🖤 READ MORE Puneet  Choudhory Certified Buyer , Bengaluru 7 months ago 34 10 Permalink Report Abuse"
